cycle,module,op,latency_s,status,rss_kb,vmsize_kb,mem_available_kb,components_loaded,timestamp
12,yolo,unload_retry,0.27,FAIL_PERSISTENT,2868,4560,46169892,"{"loaded":[{"unique_id":13;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":13};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:50:39Z
12,yolo,load,0.25,OK,2868,4560,46162336,"{"loaded":[{"unique_id":13;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":13};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:50:45Z
12,llava,unload,0.26,FAIL,2868,4560,46165364,"{"loaded":[{"unique_id":13;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":13};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:50:52Z
12,llava,unload_retry,0.26,FAIL_PERSISTENT,2868,4560,46168784,"{"loaded":[{"unique_id":13;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":13};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:51:08Z
12,llava,load,0.29,OK,2868,4560,46162084,"{"loaded":[{"unique_id":13;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":13};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:51:14Z
12,voxtral,unload,0.32,OK,2868,4560,46162560,"{"loaded":[];"tracked":{"camera":1;"yolo":3;"llava":4};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:51:20Z
12,voxtral,load,0.29,OK,2868,4560,46161344,"{"loaded":[{"unique_id":14;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":14};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:51:26Z
13,yolo,unload,0.27,FAIL,2868,4560,46168352,"{"loaded":[{"unique_id":14;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":14};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:51:32Z
13,yolo,unload_retry,0.27,FAIL_PERSISTENT,2868,4560,46166304,"{"loaded":[{"unique_id":14;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":14};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:51:48Z
13,yolo,load,0.26,OK,2868,4560,46166400,"{"loaded":[{"unique_id":14;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":14};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:51:54Z
13,llava,unload,0.27,FAIL,2868,4560,46165196,"{"loaded":[{"unique_id":14;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":14};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:52:00Z
13,llava,unload_retry,0.25,FAIL_PERSISTENT,2868,4560,46163408,"{"loaded":[{"unique_id":14;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":14};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:52:16Z
13,llava,load,0.25,OK,2868,4560,46159888,"{"loaded":[{"unique_id":14;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":14};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:52:22Z
13,voxtral,unload,0.31,OK,2868,4560,46164180,"{"loaded":[];"tracked":{"camera":1;"yolo":3;"llava":4};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:52:28Z
13,voxtral,load,0.29,OK,2868,4560,46157092,"{"loaded":[{"unique_id":15;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":15};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:52:34Z
14,yolo,unload,0.24,FAIL,2868,4560,46171308,"{"loaded":[{"unique_id":15;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":15};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:52:40Z
14,yolo,unload_retry,0.27,FAIL_PERSISTENT,2868,4560,46176608,"{"loaded":[{"unique_id":15;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":15};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:52:56Z
14,yolo,load,0.23,OK,2868,4560,46167320,"{"loaded":[{"unique_id":15;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":15};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:53:03Z
14,llava,unload,0.28,FAIL,2868,4560,46169440,"{"loaded":[{"unique_id":15;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":15};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:53:09Z
14,llava,unload_retry,0.26,FAIL_PERSISTENT,2868,4560,46166768,"{"loaded":[{"unique_id":15;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":15};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:53:25Z
14,llava,load,0.26,OK,2868,4560,46171208,"{"loaded":[{"unique_id":15;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":15};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:53:31Z
14,voxtral,unload,0.26,OK,2868,4560,46164280,"{"loaded":[];"tracked":{"camera":1;"yolo":3;"llava":4};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:53:37Z
14,voxtral,load,0.29,OK,2868,4560,46171476,"{"loaded":[{"unique_id":16;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":16};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:53:43Z
15,yolo,unload,0.29,FAIL,2868,4560,46177304,"{"loaded":[{"unique_id":16;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":16};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:53:49Z
15,yolo,unload_retry,0.26,FAIL_PERSISTENT,2868,4560,46165972,"{"loaded":[{"unique_id":16;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":16};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:54:05Z
15,llava,unload,0.28,FAIL,2868,4560,46166632,"{"loaded":[{"unique_id":16;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":16};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:54:11Z
15,llava,unload_retry,0.27,FAIL_PERSISTENT,2868,4560,46165172,"{"loaded":[{"unique_id":16;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":16};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:54:27Z
15,voxtral,unload,0.30,OK,2868,4560,46162960,"{"loaded":[];"tracked":{"camera":1;"yolo":3;"llava":4};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:54:33Z
